coerce	data	error	generator	lower-q	mean	n	relative-error	sum	total-time	truth	upper-q	value
float_array	float[]	-0.826812744140625	uniforms	0.030280056175000004	0.031019061451515156	16777216	-2.407732780357818E-11	naive	61.420235669	3.433988816723053E10	0.03132026826666667	3.4339888168057343E10
float_array	float[]	-0.8270645141601562	uniforms	0.020496330448979593	0.020675461252040818	16777216	-2.408465951119194E-11	pairwise	60.78311666	3.433988816723053E10	0.020884184672448982	3.4339888168057594E10
float_array	float[]	-0.8270645141601562	uniforms	0.08037554130769231	0.08260873687051282	16777216	-2.408465951119194E-11	kahan	64.430575442	3.433988816723053E10	0.08513196737115383	3.4339888168057594E10
double_array	double[]	-0.001163482666015625	uniforms	0.030179747212121216	0.030916879317171724	16777216	-3.3881376093877314E-14	naive	61.213304855	3.433988816723053E10	0.03141279201439394	3.4339888167231693E10
double_array	double[]	3.814697265625E-6	uniforms	0.01523907573846154	0.015498455166923077	16777216	1.1108647899631907E-16	pairwise	60.441420623	3.433988816723053E10	0.01580423946153846	3.4339888167230526E10
double_array	double[]	0.0	uniforms	0.08236334269230769	0.08543546904871796	16777216	0.0	kahan	66.617439798	3.433988816723053E10	0.08818948976923077	3.433988816723053E10
array_of_Double	Double[]	-0.001163482666015625	uniforms	0.03464077281481482	0.037659228178395066	16777216	-3.3881376093877314E-14	naive	61.01548998	3.433988816723053E10	0.042070055148148155	3.4339888167231693E10
array_of_Double	Double[]	3.814697265625E-6	uniforms	0.035569378857142855	0.035917215130357144	16777216	1.1108647899631907E-16	pairwise	60.341974227	3.433988816723053E10	0.03632911102142857	3.4339888167230526E10
array_of_Double	Double[]	0.0	uniforms	0.08023276516666668	0.08408173877500001	16777216	0.0	kahan	60.534548049	3.433988816723053E10	0.09725039406875	3.433988816723053E10
array_of_BigDecimal	BigDecimal[]	0.0	uniforms	1.160985009	1.1798578093833336	16777216	0.0	naive	70.792855053	3.433988816723053E10	1.2004578810000002	3.433988816723053E10
array_of_BigDecimal	BigDecimal[]	3.814697265625E-6	uniforms	7.065253107025	7.091675749100001	16777216	1.1108647899631907E-16	pairwise	425.496594449	3.433988816723053E10	7.137452696	3.4339888167230526E10
array_of_BigDecimal	BigDecimal[]	0.0	uniforms	7.030103316000001	7.063286826850001	16777216	0.0	kahan	423.785941597	3.433988816723053E10	7.105389300775	3.433988816723053E10
array_of_Ratio	Ratio[]	0.0	uniforms	30.416192622	30.565908736616667	16777216	0.0	naive	1833.71635335	3.433988816723053E10	31.7575778738	3.433988816723053E10
array_of_Ratio	Ratio[]	0.0	uniforms	7.716596278000001	7.7471917539333335	16777216	0.0	pairwise	464.818150203	3.433988816723053E10	7.792467827025	3.433988816723053E10
array_of_Ratio	Ratio[]	0.0	uniforms	7.683702095	7.711211901466667	16777216	0.0	kahan	462.670560699	3.433988816723053E10	7.7529592240000005	3.433988816723053E10
float_array	float[]	0.5964433962944895	gaussians	0.030148285939393945	0.031050609113131317	16777216	-3.148302007024564E-7	naive	61.477908249	-1894492.3166954482	0.031248838050000005	-1894492.9131388445
float_array	float[]	0.5964433972258121	gaussians	0.019593533411764705	0.01970419754150327	16777216	-3.148302011940512E-7	pairwise	60.295310166	-1894492.3166954482	0.01981407443137255	-1894492.9131388455
float_array	float[]	0.5964433965273201	gaussians	0.07792607800961539	0.0794139122974359	16777216	-3.1483020082535505E-7	kahan	61.936282016	-1894492.3166954482	0.08063467053076924	-1894492.9131388448
double_array	double[]	6.172340363264084E-7	gaussians	0.030011577969696973	0.030878783201010104	16777216	-3.2580445478028966E-13	naive	61.138201656	-1894492.3166954482	0.03114664854545455	-1894492.3166960655
double_array	double[]	-2.561137080192566E-9	gaussians	0.013294243613333334	0.013684289618444445	16777216	1.3518857044825297E-15	pairwise	61.576907753	-1894492.3166954482	0.014310171645333335	-1894492.3166954457
double_array	double[]	6.984919309616089E-10	gaussians	0.07870076915384615	0.07965702912692307	16777216	-3.686961012225081E-16	kahan	62.130030292	-1894492.3166954482	0.080956156	-1894492.316695449
array_of_Double	Double[]	6.172340363264084E-7	gaussians	0.031188380062500003	0.031891560633333337	16777216	-3.2580445478028966E-13	naive	61.230006971	-1894492.3166954482	0.03237355520625	-1894492.3166960655
array_of_Double	Double[]	-2.561137080192566E-9	gaussians	0.05618742994444445	0.05711622595462963	16777216	1.3518857044825297E-15	pairwise	61.67888626	-1894492.3166954482	0.05834880289166667	-1894492.3166954457
array_of_Double	Double[]	6.984919309616089E-10	gaussians	0.0807081338	0.10121751435166666	16777216	-3.686961012225081E-16	kahan	60.809896705	-1894492.3166954482	0.10742346631	-1894492.316695449
array_of_BigDecimal	BigDecimal[]	0.0	gaussians	1.507319475725	1.5305864858166667	16777216	-0.0	naive	91.835954599	-1894492.3166954482	1.55270982535	-1894492.3166954482
array_of_BigDecimal	BigDecimal[]	-2.561137080192566E-9	gaussians	7.167686229	7.209606534250001	16777216	1.3518857044825297E-15	pairwise	432.573600494	-1894492.3166954482	7.253826634775	-1894492.3166954457
array_of_BigDecimal	BigDecimal[]	6.984919309616089E-10	gaussians	7.157674876000001	7.191589814016667	16777216	-3.686961012225081E-16	kahan	431.457498644	-1894492.3166954482	7.225767607000001	-1894492.316695449
array_of_Ratio	Ratio[]	-2.3283064365386963E-10	gaussians	34.101021191	34.16655130153333	16777216	1.2289870040750271E-16	naive	2049.977213017	-1894492.3166954482	34.27025234605	-1894492.316695448
array_of_Ratio	Ratio[]	-6.984919309616089E-10	gaussians	7.669922948000001	7.705506704466667	16777216	3.686961012225081E-16	pairwise	462.326982374	-1894492.3166954482	7.750505343350001	-1894492.3166954475
array_of_Ratio	Ratio[]	-6.984919309616089E-10	gaussians	7.650334203000001	7.69203217365	16777216	3.686961012225081E-16	kahan	461.497589998	-1894492.3166954482	7.715072721475001	-1894492.3166954475
float_array	float[]	2.701199264265597E-9	fractions	0.029923323352941174	0.031025679839215684	16777216	8.598184303681213E-13	naive	63.291668464	3141.592653589793	0.031223605794117645	3141.5926535870917
float_array	float[]	1.7757884052116424E-9	fractions	0.019157251583333337	0.019628560422569444	16777216	5.652510051494131E-13	pairwise	56.527086472	3141.592653589793	0.02105871895885417	3141.592653588017
float_array	float[]	1.7757884052116424E-9	fractions	0.07903803507692307	0.08072431920512821	16777216	5.652510051494131E-13	kahan	62.955301144	3141.592653589793	0.08873666669230769	3141.592653588017
double_array	double[]	0.0	fractions	0.030029634787878793	0.03091760552626263	16777216	0.0	naive	61.219324859	3141.592653589793	0.03109318012045455	3141.592653589793
double_array	double[]	0.0	fractions	0.013268240039473685	0.013674282398026318	16777216	0.0	pairwise	62.352964908	3141.592653589793	0.01437514082894737	3141.592653589793
double_array	double[]	0.0	fractions	0.07858424238461538	0.07969568907179486	16777216	0.0	kahan	62.160669702	3141.592653589793	0.08094467723653846	3141.592653589793
array_of_Double	Double[]	0.0	fractions	0.03117700684375	0.031790412465625	16777216	0.0	naive	61.039027284	3141.592653589793	0.032350386	3141.592653589793
array_of_Double	Double[]	0.0	fractions	0.056326289111111115	0.057477263129629634	16777216	0.0	pairwise	62.067002017	3141.592653589793	0.059165159630555554	3141.592653589793
array_of_Double	Double[]	0.0	fractions	0.08038850123076924	0.08327235794358974	16777216	0.0	kahan	64.950779208	3141.592653589793	0.08607102338461539	3141.592653589793
array_of_BigDecimal	BigDecimal[]	0.0	fractions	1.178511456925	1.2156586745833333	16777216	0.0	naive	72.937830579	3141.592653589793	1.2595661770000002	3141.592653589793
array_of_BigDecimal	BigDecimal[]	0.0	fractions	9.255117903	9.3071322746	16777216	0.0	pairwise	558.418650456	3141.592653589793	9.379126941975	3141.592653589793
array_of_BigDecimal	BigDecimal[]	0.0	fractions	9.232972441000001	9.269616264133333	16777216	0.0	kahan	556.17410186	3141.592653589793	9.330663581025	3141.592653589793
array_of_Ratio	Ratio[]	0.0	fractions	35.205558191	35.38070053721667	16777216	0.0	naive	2122.666710489	3141.592653589793	36.951934595299996	3141.592653589793
array_of_Ratio	Ratio[]	0.0	fractions	7.429319371	7.491282480300001	16777216	0.0	pairwise	449.473656189	3141.592653589793	7.578560669725001	3141.592653589793
array_of_Ratio	Ratio[]	0.0	fractions	7.404791139	7.442291060883334	16777216	0.0	kahan	446.52681777	3141.592653589793	7.5144684135499995	3141.592653589793
